slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1764421200,176,2,2,21904
btc-updown-15m-1764430200,232,6,4,28697
btc-updown-15m-1764438300,228,4,0,28453
btc-updown-15m-1764447300,108,0,0,13514
btc-updown-15m-1764457200,0,0,0,51
btc-updown-15m-1764467100,174,6,4,21856
btc-updown-15m-1764503100,200,0,0,24717
btc-updown-15m-1764512100,142,0,0,17890
btc-updown-15m-1764520200,208,2,2,25746
btc-updown-15m-1764529200,186,4,2,23178
btc-updown-15m-1764537300,134,4,0,16727
btc-updown-15m-1764546300,112,0,0,27610
btc-updown-15m-1764547200,104,0,0,12961
btc-updown-15m-1764558000,298,4,4,36999
btc-updown-15m-1764567900,122,0,0,15252
btc-updown-15m-1764578700,288,10,8,35698
btc-updown-15m-1764589500,244,4,2,30319
btc-updown-15m-1764600300,522,8,8,64635
btc-updown-15m-1764610200,314,6,2,38880
btc-updown-15m-1764621000,298,6,2,37096
btc-updown-15m-1764632700,0,0,0,269
btc-updown-15m-1764643500,188,0,0,23454
btc-updown-15m-1764653400,250,2,0,31206
btc-updown-15m-1764664200,194,4,4,24044
btc-updown-15m-1764675000,254,2,2,31508
btc-updown-15m-1764684900,332,2,2,40938
btc-updown-15m-1764695700,88,0,0,10928
btc-updown-15m-1764706500,202,4,2,25254
btc-updown-15m-1764717300,104,2,0,25482
btc-updown-15m-1764727200,328,7,3,58707
btc-updown-15m-1764738000,190,10,8,46892
btc-updown-15m-1764748800,142,4,0,34358
btc-updown-15m-1764759600,164,6,0,39769
btc-updown-15m-1764769500,206,6,6,49849
btc-updown-15m-1764780300,102,2,2,24945
btc-updown-15m-1764791100,86,4,4,21273
btc-updown-15m-1764801000,0,0,0,395
btc-updown-15m-1764811800,118,2,2,29091
btc-updown-15m-1764822600,132,6,6,32067
btc-updown-15m-1764833400,82,4,2,19888
btc-updown-15m-1764843300,114,0,0,27798
btc-updown-15m-1764854100,128,0,0,31490
btc-updown-15m-1764864900,140,0,0,34216
btc-updown-15m-1764875700,276,2,2,67564
btc-updown-15m-1764887400,0,0,0,104
btc-updown-15m-1764898200,94,2,2,23321
btc-updown-15m-1764909900,98,0,0,23835
btc-updown-15m-1764919800,128,4,4,30882
btc-updown-15m-1764930600,156,10,8,37952
btc-updown-15m-1764941400,192,8,6,46414
btc-updown-15m-1764952200,162,6,4,39878
btc-updown-15m-1764962100,116,4,4,28275
btc-updown-15m-1764972900,34,2,2,8205
btc-updown-15m-1764983700,102,0,0,24719
btc-updown-15m-1764994500,128,2,2,30960
btc-updown-15m-1765004400,106,4,0,25141
btc-updown-15m-1765015200,108,6,4,26158
btc-updown-15m-1765026000,94,8,6,22595
btc-updown-15m-1765035900,100,4,4,24258
btc-updown-15m-1765046700,90,4,0,21865
btc-updown-15m-1765057500,108,2,2,25815
btc-updown-15m-1765068300,106,6,2,25492
