slug,startedAt,isWin,pnl,asOfTimeMs,symbol,session,hourOfDayUTC,dayOfWeekUTC,tf1h_atr14Pct,tf1h_bbWidth,tf1h_adx14,tf1h_ema20,tf1h_ema50,tf1h_ema20Over50,tf1h_rv20,tf1h_rv80,tf1h_rv20Over80,tf15m_hlRangePct,tf15m_wickRatio,tf15m_atr14Pct,tf15m_rv20,error
btc-updown-15m-1766691900,,false,-6.79,1766691900000,BTCUSDT,US,19,4,0.003596531217950847,0.011374084822633662,18.714888552411654,87804.49263300306,87727.41784458712,0.0008785712643735177,0.002359741441914502,0.0033424813066753895,0.7059849331697914,0.0009405514488113787,2.197221150134517,0.00174881776207953,0.001709677023593204,
btc-updown-15m-1766692800,,true,1.99,1766692800000,BTCUSDT,US,20,4,0.0034836520132859234,0.011863846627169635,19.667583554540766,87837.51047716073,87743.97463990304,0.0010660086648861533,0.0021845370715223057,0.0033354033873687827,0.6549543841668978,0.0006151776586542283,3.904977375570515,0.001667616888297926,0.0017006433528410046,
btc-updown-15m-1766693700,,true,2.26,1766693700000,BTCUSDT,US,20,4,0.0034836520132859234,0.011863846627169635,19.667583554540766,87837.51047716073,87743.97463990304,0.0010660086648861533,0.0021845370715223057,0.0033354033873687827,0.6549543841668978,0.0011769849200580734,1.830420535226853,0.0016331668728774935,0.0017045126778576496,
btc-updown-15m-1766694600,,true,2.07,1766694600000,BTCUSDT,US,20,4,0.0034836520132859234,0.011863846627169635,19.667583554540766,87837.51047716073,87743.97463990304,0.0010660086648861533,0.0021845370715223057,0.0033354033873687827,0.6549543841668978,0.005538277239018745,0.4106006451050081,0.0019175062072798515,0.0017564762643703636,
btc-updown-15m-1766695500,,true,2.26,1766695500000,BTCUSDT,US,20,4,0.0034836520132859234,0.011863846627169635,19.667583554540766,87837.51047716073,87743.97463990304,0.0010660086648861533,0.0021845370715223057,0.0033354033873687827,0.6549543841668978,0.001541698022850179,3.0217132659121537,0.001889852986684585,0.0013116611575511895,
btc-updown-15m-1766696400,,false,-7.78,1766696400000,BTCUSDT,US,21,4,0.0036650166979565763,0.01161700772629922,18.70070371465711,87842.76566934996,87749.73625961691,0.0010601673999088845,0.0022801549932864994,0.0033291672942517333,0.6849024971570223,0.0010925461655706052,0.08248702324529515,0.0018310544297777324,0.0013198454748069388,
btc-updown-15m-1766697300,,true,2.17,1766697300000,BTCUSDT,US,21,4,0.0036650166979565763,0.01161700772629922,18.70070371465711,87842.76566934996,87749.73625961691,0.0010601673999088845,0.0022801549932864994,0.0033291672942517333,0.6849024971570223,0.0018446823047141882,0.8139066174001145,0.00183005930743798,0.001344586428641469,
btc-updown-15m-1766699100,,true,3.25,1766699100000,BTCUSDT,US,21,4,0.0036650166979565763,0.01161700772629922,18.70070371465711,87842.76566934996,87749.73625961691,0.0010601673999088845,0.0022801549932864994,0.0033291672942517333,0.6849024971570223,0.0003930850685210494,8.394021739150164,0.0016478873163908842,0.0012847126490089598,
btc-updown-15m-1766700000,,false,-6.65,1766700000000,BTCUSDT,US,22,4,0.0035353361919876133,0.011564463433310187,17.802907673567002,87848.33179495641,87755.5893323881,0.001056826844578751,0.002258986019655776,0.0033125033686458452,0.6819573501533529,0.0010149912350460044,0.4705688375929248,0.0016037128893661332,0.0011426466425198411,
btc-updown-15m-1766701800,,false,-6.95,1766701800000,BTCUSDT,US,22,4,0.0035353361919876133,0.011564463433310187,17.802907673567002,87848.33179495641,87755.5893323881,0.001056826844578751,0.002258986019655776,0.0033125033686458452,0.6819573501533529,0.0005796951607351885,2.9929411764697207,0.0015175507869652268,0.0011423063085060695,
btc-updown-15m-1766707200,,false,-7.54,1766707200000,BTCUSDT,ASIA,0,5,0.004216141875889315,0.013102581436304883,18.499489000268106,87771.90275836592,87730.61029720685,0.00047067336040629293,0.002527403266650468,0.0033178434587961586,0.7617608540119332,0.004424009187583578,1.256777373547763,0.0023567984372077277,0.001623284569670326,
btc-updown-15m-1766708100,,true,2.56,1766708100000,BTCUSDT,ASIA,0,5,0.004216141875889315,0.013102581436304883,18.499489000268106,87771.90275836592,87730.61029720685,0.00047067336040629293,0.002527403266650468,0.0033178434587961586,0.7617608540119332,0.0032284341175402775,8.649725274721996,0.002419373643984048,0.0016240922102559291,
btc-updown-15m-1766709000,,false,-7.74,1766709000000,BTCUSDT,ASIA,0,5,0.004216141875889315,0.013102581436304883,18.499489000268106,87771.90275836592,87730.61029720685,0.00047067336040629293,0.002527403266650468,0.0033178434587961586,0.7617608540119332,0.0036258974602270326,1.4884363406739993,0.002508458045512886,0.0016357247552464536,
btc-updown-15m-1766709900,,true,3.45,1766709900000,BTCUSDT,ASIA,0,5,0.004216141875889315,0.013102581436304883,18.499489000268106,87771.90275836592,87730.61029720685,0.00047067336040629293,0.002527403266650468,0.0033178434587961586,0.7617608540119332,0.0037985216079326066,2.3686466625838167,0.002602980401289663,0.0016258243126747245,
btc-updown-15m-1766710800,,true,2.17,1766710800000,BTCUSDT,ASIA,1,5,0.0042709588993494595,0.014708852467787586,19.317894948723307,87709.81678056753,87706.64434008545,0.00003617103933173382,0.0025331543708393017,0.0033142113562702868,0.7643309670177574,0.0022735055732750527,0.3306402746919879,0.0025749752007260375,0.0017029944364239165,
btc-updown-15m-1766713500,,true,3.23,1766713500000,BTCUSDT,ASIA,1,5,0.0042709588993494595,0.014708852467787586,19.317894948723307,87709.81678056753,87706.64434008545,0.00003617103933173382,0.0025331543708393017,0.0033142113562702868,0.7643309670177574,0.001556027231679292,1.435897435897998,0.0024154080002636476,0.001618834707555593,
btc-updown-15m-1766714400,,true,2.17,1766714400000,BTCUSDT,ASIA,2,5,0.004262178393257081,0.015065090641575135,19.39636488764976,87683.38280001358,87695.8588904808,-0.00014226544588380463,0.0026831331472520763,0.0033320317411322142,0.8052543780211276,0.001428552135743892,2.659337437701696,0.0023439766637084357,0.0015996832412820802,
btc-updown-15m-1766716200,,true,2.46,1766716200000,BTCUSDT,ASIA,2,5,0.004262178393257081,0.015065090641575135,19.39636488764976,87683.38280001358,87695.8588904808,-0.00014226544588380463,0.0026831331472520763,0.0033320317411322142,0.8052543780211276,0.012494719127902619,0.3366082041578577,0.003454538014188764,0.003275497079257386,
btc-updown-15m-1766718000,,true,2.17,1766718000000,BTCUSDT,ASIA,3,5,0.005500027911301591,0.02089045201541976,20.511498161537048,87827.82158047787,87754.83944475406,0.0008316593840931308,0.005258014804115,0.004025583015070462,1.3061498879617481,0.0031228509274112744,8.53015764222336,0.0035075406894860875,0.0032881229891797326,
btc-updown-15m-1766719800,,true,2.17,1766719800000,BTCUSDT,ASIA,3,5,0.005500027911301591,0.02089045201541976,20.511498161537048,87827.82158047787,87754.83944475406,0.0008316593840931308,0.005258014804115,0.004025583015070462,1.3061498879617481,0.0034757173104290255,0.5105299245763973,0.003483161679200113,0.0033861294695209363,
btc-updown-15m-1766726100,,true,2.46,1766726100000,BTCUSDT,ASIA,5,5,0.005694765723909179,0.02549044566947401,22.010998685420276,88024.16492142771,87843.52353840535,0.0020563995585103356,0.00530345234492463,0.0037863071700235274,1.400692576374271,0.0011223177937474066,2.8131448223156386,0.0029921416131474753,0.003129890625645379,
