slug,PNL,isWin,1s,3s,5s,10s,20s,30s,45s,60s,120s,180s,220s
btc-updown-15m-1768758300,3.45,true,0,0,0.01999999999999996,0.01999999999999996,0.01999999999999996,0.02999999999999997,0.06,0.09999999999999998,0.16999999999999998,0.16999999999999998,0.16999999999999998
btc-updown-15m-1768759200,2.85,true,0,0,0.009999999999999952,0.009999999999999952,0.009999999999999952,0.03999999999999998,0.15999999999999998,0.16999999999999998,0.16999999999999998,0.19,0.19
btc-updown-15m-1768760100,-7.05,false,0,0,0,0.010000000000000007,0.010000000000000007,0.030000000000000027,0.030000000000000027,0.04999999999999999,0.07999999999999996,0.14999999999999997,0.26999999999999996
btc-updown-15m-1768761000,2.17,true,0.03,0.06999999999999998,0.06999999999999998,0.1,0.11,0.11,0.18999999999999995,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.33000000000000007
btc-updown-15m-1768762800,-6.85,false,0,0,0,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.09999999999999998,0.09999999999999998,0.11,0.19,0.19
btc-updown-15m-1768763700,-6.95,false,0.01999999999999996,0.02999999999999997,0.02999999999999997,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.06,0.06999999999999998,0.23999999999999996,0.33000000000000007,0.4300000000000001
btc-updown-15m-1768764600,-6.85,false,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.07,0.16000000000000003,0.19,0.19,0.19
btc-updown-15m-1768765500,3.15,true,0,0,0,0.020000000000000014,0.020000000000000014,0.020000000000000014,0.07,0.12,0.22,0.22,0.22
btc-updown-15m-1768766400,2.26,true,0,0.01999999999999999,0.03,0.03,0.05000000000000002,0.05000000000000002,0.19000000000000003,0.19000000000000003,0.24,0.24,0.24
btc-updown-15m-1768767300,2.46,true,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.09000000000000002,0.09999999999999998,0.13,0.15999999999999998,0.15999999999999998,0.16999999999999998,0.2
btc-updown-15m-1768768200,2.56,true,0,0,0.020000000000000014,0.020000000000000014,0.04000000000000001,0.04000000000000001,0.05999999999999997,0.27,0.29000000000000004,0.29000000000000004,0.29000000000000004
btc-updown-15m-1768769100,-6.65,false,0,0.01999999999999996,0.01999999999999996,0.01999999999999996,0.02999999999999997,0.02999999999999997,0.03999999999999998,0.03999999999999998,0.21,0.26999999999999996,0.26999999999999996
btc-updown-15m-1768770900,3.15,true,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.13999999999999996,0.14999999999999997,0.21999999999999997
btc-updown-15m-1768772700,3.15,true,0,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.020000000000000014,0.08999999999999997,0.08999999999999997,0.09999999999999998,0.14999999999999997,0.15999999999999998
btc-updown-15m-1768773600,3.05,true,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.1,0.1,0.13,0.13,0.19,0.31,0.34
btc-updown-15m-1768774500,2.66,true,0,0,0,0,0,0.010000000000000007,0.02999999999999997,0.02999999999999997,0.16999999999999998,0.19,0.19
btc-updown-15m-1768775400,-7.44,false,0.020000000000000014,0.03,0.06,0.08000000000000002,0.08999999999999997,0.14999999999999997,0.16999999999999998,0.16999999999999998,0.18,0.26999999999999996,0.26999999999999996
btc-updown-15m-1768776300,-7.54,false,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.08000000000000002,0.09000000000000002,0.11,0.16999999999999998,0.32999999999999996,0.32999999999999996,0.32999999999999996
btc-updown-15m-1768778100,-7.24,false,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.01999999999999996,0.04999999999999999,0.04999999999999999,0.06999999999999998,0.06999999999999998,0.18000000000000002,0.26,0.26
btc-updown-15m-1768779000,-7.05,false,0,0.020000000000000014,0.020000000000000014,0.030000000000000027,0.04000000000000003,0.04999999999999999,0.09000000000000002,0.13,0.17,0.18999999999999995,0.32999999999999996
btc-updown-15m-1768781700,2.17,true,0,0.010000000000000007,0.04000000000000001,0.04000000000000001,0.09,0.11,0.15,0.23,0.29000000000000004,0.41,0.41
btc-updown-15m-1768782600,3.05,true,0.020000000000000014,0.030000000000000027,0.030000000000000027,0.11,0.11,0.11,0.16,0.16,0.33999999999999997,0.36,0.36
btc-updown-15m-1768783500,2.46,true,0,0,0.010000000000000007,0.03999999999999998,0.07,0.07,0.07,0.09999999999999998,0.21,0.21,0.21
btc-updown-15m-1768785300,2.95,true,0.01999999999999996,0.03999999999999998,0.04999999999999999,0.04999999999999999,0.09999999999999998,0.13,0.18,0.20999999999999996,0.3799999999999999,0.42,0.46
btc-updown-15m-1768786200,-7.44,false,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.020000000000000014,0.020000000000000014,0.08000000000000002,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.16999999999999998,0.24
btc-updown-15m-1768787100,-7.48,false,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.030000000000000027,0.03999999999999998,0.03999999999999998,0.11,0.2,0.2,0.27,0.31999999999999995
btc-updown-15m-1768789800,2.46,true,0,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.03999999999999998,0.06,0.11,0.11,0.23,0.23,0.27
btc-updown-15m-1768790700,-7.15,false,0,0,0.010000000000000007,0.01999999999999996,0.07,0.07,0.2,0.28,0.36,0.37,0.37
btc-updown-15m-1768791600,3.54,true,0,0.009999999999999952,0.009999999999999952,0.08999999999999997,0.09999999999999998,0.11,0.14,0.14,0.2,0.2,0.2
btc-updown-15m-1768792500,-6.75,false,0,0.010000000000000007,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.04000000000000003,0.04000000000000003,0.13,0.16000000000000003,0.16999999999999998
btc-updown-15m-1768793400,-6.55,false,0,0.009999999999999952,0.009999999999999952,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.13,0.21,0.23000000000000004,0.35000000000000003
btc-updown-15m-1768794300,2.46,true,0,0,0.010000000000000007,0.010000000000000007,0.08000000000000002,0.09000000000000002,0.15000000000000002,0.18,0.18,0.18,0.21
btc-updown-15m-1768796100,3.25,true,0.01999999999999996,0.01999999999999996,0.01999999999999996,0.01999999999999996,0.06,0.06,0.13,0.13,0.18,0.25000000000000006,0.25000000000000006
btc-updown-15m-1768797000,3.15,true,0,0,0,0.010000000000000007,0.06,0.06,0.12,0.12,0.14,0.20999999999999996,0.26
btc-updown-15m-1768797900,-6.75,false,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.030000000000000027,0.030000000000000027,0.04999999999999999,0.04999999999999999,0.08000000000000002,0.29000000000000004,0.29000000000000004
btc-updown-15m-1768798800,-7.34,false,0,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.04000000000000001,0.060000000000000026,0.060000000000000026,0.07,0.08000000000000002,0.13,0.31
btc-updown-15m-1768800600,3.25,true,0.010000000000000007,0.030000000000000027,0.04999999999999999,0.06,0.08000000000000002,0.09000000000000002,0.14,0.15000000000000002,0.19,0.20999999999999996,0.20999999999999996
btc-updown-15m-1768801500,3.45,true,0,0,0.009999999999999952,0.06,0.12999999999999998,0.12999999999999998,0.18000000000000002,0.18000000000000002,0.29000000000000004,0.31999999999999995,0.32999999999999996
btc-updown-15m-1768802400,3.05,true,0.020000000000000014,0.02999999999999997,0.02999999999999997,0.03999999999999998,0.04999999999999999,0.08999999999999997,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.2,0.2
btc-updown-15m-1768803300,2.26,true,0,0,0,0,0.09,0.11,0.11,0.11,0.17,0.31,0.31
btc-updown-15m-1768804200,2.66,true,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.08999999999999997,0.08999999999999997,0.18,0.29000000000000004
btc-updown-15m-1768805100,3.25,true,0,0,0,0,0.020000000000000014,0.030000000000000027,0.15000000000000002,0.16999999999999998,0.16999999999999998,0.16999999999999998,0.16999999999999998
btc-updown-15m-1768807800,3.25,true,0,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.04999999999999999,0.16000000000000003,0.19,0.22000000000000003,0.31000000000000005,0.39
btc-updown-15m-1768808700,3.25,true,0,0,0,0,0.01999999999999996,0.01999999999999996,0.11,0.13,0.2399999999999999,0.33,0.33
btc-updown-15m-1768809600,2.95,true,0.04000000000000003,0.04000000000000003,0.04000000000000003,0.04000000000000003,0.04000000000000003,0.06999999999999995,0.20999999999999996,0.23,0.24,0.32,0.32
btc-updown-15m-1768812300,2.46,true,0,0,0.010000000000000007,0.010000000000000007,0.030000000000000027,0.030000000000000027,0.15000000000000002,0.2,0.2,0.25,0.26
btc-updown-15m-1768813200,2.46,true,0,0,0,0.010000000000000007,0.030000000000000027,0.04000000000000003,0.08000000000000002,0.08000000000000002,0.2,0.25,0.26
btc-updown-15m-1768814100,3.15,true,0,0.010000000000000007,0.030000000000000027,0.03999999999999998,0.03999999999999998,0.04999999999999999,0.08000000000000002,0.08000000000000002,0.2,0.26000000000000006,0.34
btc-updown-15m-1768815000,3.25,true,0.010000000000000007,0.05000000000000005,0.07,0.07,0.07,0.08000000000000002,0.13,0.20999999999999996,0.23,0.32999999999999996,0.32999999999999996
btc-updown-15m-1768815900,1.97,true,0,0,0,0,0.00999999999999998,0.01999999999999999,0.03999999999999998,0.03999999999999998,0.07,0.21999999999999997,0.25
