slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1763950500,604,16,6,149136
btc-updown-15m-1763959500,434,8,6,106937
btc-updown-15m-1763967600,508,4,4,125402
btc-updown-15m-1763976600,562,10,8,138350
btc-updown-15m-1763984700,372,18,14,91730
btc-updown-15m-1763993700,468,6,4,115237
btc-updown-15m-1764001800,506,18,14,125184
btc-updown-15m-1764010800,388,14,12,95360
btc-updown-15m-1764018900,208,4,2,51194
btc-updown-15m-1764027900,128,8,4,31524
btc-updown-15m-1764036000,332,6,2,81743
btc-updown-15m-1764045000,152,2,2,37304
btc-updown-15m-1764053100,242,10,4,58444
btc-updown-15m-1764062100,358,16,12,87205
btc-updown-15m-1764070200,324,14,4,79277
btc-updown-15m-1764079200,414,10,4,101804
btc-updown-15m-1764087300,188,6,2,45878
btc-updown-15m-1764096300,178,10,8,43574
btc-updown-15m-1764104400,118,2,2,28844
btc-updown-15m-1764113400,324,0,0,80237
btc-updown-15m-1764121500,290,4,4,71483
btc-updown-15m-1764130500,162,0,0,39589
btc-updown-15m-1764138600,346,4,0,84541
btc-updown-15m-1764147600,372,10,6,90966
btc-updown-15m-1764155700,250,4,2,61322
btc-updown-15m-1764164700,396,4,0,96971
btc-updown-15m-1764172800,32,0,0,8146
btc-updown-15m-1764181800,0,0,0,215
btc-updown-15m-1764189900,0,0,0,19
btc-updown-15m-1764207900,512,8,8,63684
btc-updown-15m-1764216000,438,6,4,54621
btc-updown-15m-1764225000,522,14,10,64766
btc-updown-15m-1764233100,368,8,4,45711
btc-updown-15m-1764242100,354,4,4,43941
btc-updown-15m-1764250200,724,4,2,89837
btc-updown-15m-1764259200,690,8,6,85540
btc-updown-15m-1764267300,776,8,0,96301
btc-updown-15m-1764276300,598,16,10,73968
btc-updown-15m-1764284400,194,4,2,47078
btc-updown-15m-1764293400,552,16,14,68513
btc-updown-15m-1764301500,318,6,4,39240
btc-updown-15m-1764310500,408,4,4,50474
btc-updown-15m-1764318600,556,18,14,68528
btc-updown-15m-1764327600,352,4,4,43396
btc-updown-15m-1764335700,412,14,10,50880
btc-updown-15m-1764344700,550,16,16,68210
btc-updown-15m-1764352800,786,14,12,97491
btc-updown-15m-1764361800,320,4,4,39590
btc-updown-15m-1764369900,2,0,0,459
btc-updown-15m-1764378900,278,4,0,34409
btc-updown-15m-1764387000,404,8,4,49645
btc-updown-15m-1764396000,318,8,6,39246
btc-updown-15m-1764404100,566,14,10,70055
btc-updown-15m-1764413100,366,2,2,45224
btc-updown-15m-1764421200,432,6,4,53528
btc-updown-15m-1764430200,574,8,6,70905
btc-updown-15m-1764438300,442,6,2,54830
btc-updown-15m-1764447300,324,0,0,40040
btc-updown-15m-1764457200,0,0,0,51
btc-updown-15m-1764467100,382,10,6,47398
btc-updown-15m-1764503100,414,2,0,51270
btc-updown-15m-1764512100,326,8,8,40640
btc-updown-15m-1764520200,444,2,2,54992
btc-updown-15m-1764529200,484,8,6,59637
btc-updown-15m-1764537300,326,4,0,40299
btc-updown-15m-1764546300,332,4,2,59910
btc-updown-15m-1764547200,440,2,2,54611
btc-updown-15m-1764558000,664,6,4,82203
btc-updown-15m-1764567900,320,4,4,39700
btc-updown-15m-1764578700,646,10,8,79698
btc-updown-15m-1764589500,574,14,6,70602
btc-updown-15m-1764600300,1074,14,12,132361
btc-updown-15m-1764610200,658,10,4,81346
btc-updown-15m-1764621000,666,18,12,82434
btc-updown-15m-1764632700,2,0,0,424
btc-updown-15m-1764643500,428,4,2,53091
btc-updown-15m-1764653400,534,4,2,65960
btc-updown-15m-1764664200,592,20,14,72773
btc-updown-15m-1764675000,566,14,12,69669
btc-updown-15m-1764684900,690,6,6,85034
btc-updown-15m-1764695700,332,2,0,41056
btc-updown-15m-1764706500,508,12,6,62891
btc-updown-15m-1764717300,216,4,0,52958
btc-updown-15m-1764727200,548,9,5,97273
btc-updown-15m-1764738000,424,18,12,103512
btc-updown-15m-1764748800,366,14,8,88072
btc-updown-15m-1764759600,294,8,2,71093
