claim,t_sec,cell,n_rows_total,n_stale_novjan,stale_pct
friction_map_endgame_cell,899,band_c=10,49,6,12.24
friction_map_endgame_cell,899,band_c=12,39,7,17.95
friction_map_endgame_cell,899,band_c=14,34,6,17.65
friction_map_endgame_cell,899,band_c=16,41,9,21.95
friction_map_endgame_cell,899,band_c=18,35,6,17.14
friction_map_endgame_cell,899,band_c=2,175,4,2.29
friction_map_endgame_cell,899,band_c=20,21,2,9.52
friction_map_endgame_cell,899,band_c=22,17,4,23.53
friction_map_endgame_cell,899,band_c=24,25,4,16.0
friction_map_endgame_cell,899,band_c=26,30,6,20.0
friction_map_endgame_cell,899,band_c=28,23,6,26.09
friction_map_endgame_cell,899,band_c=30,28,2,7.14
friction_map_endgame_cell,899,band_c=32,17,6,35.29
friction_map_endgame_cell,899,band_c=34,24,3,12.5
friction_map_endgame_cell,899,band_c=36,13,1,7.69
friction_map_endgame_cell,899,band_c=38,24,3,12.5
friction_map_endgame_cell,899,band_c=4,90,7,7.78
friction_map_endgame_cell,899,band_c=40,20,6,30.0
friction_map_endgame_cell,899,band_c=42,21,4,19.05
friction_map_endgame_cell,899,band_c=44,22,6,27.27
friction_map_endgame_cell,899,band_c=46,28,12,42.86
friction_map_endgame_cell,899,band_c=48,151,112,74.17
friction_map_endgame_cell,899,band_c=50,270,241,89.26
friction_map_endgame_cell,899,band_c=52,20,9,45.0
friction_map_endgame_cell,899,band_c=54,27,9,33.33
friction_map_endgame_cell,899,band_c=56,20,4,20.0
friction_map_endgame_cell,899,band_c=58,14,1,7.14
friction_map_endgame_cell,899,band_c=6,66,7,10.61
friction_map_endgame_cell,899,band_c=60,23,6,26.09
friction_map_endgame_cell,899,band_c=62,21,6,28.57
friction_map_endgame_cell,899,band_c=64,26,4,15.38
friction_map_endgame_cell,899,band_c=66,28,10,35.71
friction_map_endgame_cell,899,band_c=68,24,6,25.0
friction_map_endgame_cell,899,band_c=70,14,3,21.43
friction_map_endgame_cell,899,band_c=72,28,5,17.86
friction_map_endgame_cell,899,band_c=74,31,5,16.13
friction_map_endgame_cell,899,band_c=76,19,4,21.05
friction_map_endgame_cell,899,band_c=78,25,3,12.0
friction_map_endgame_cell,899,band_c=8,56,5,8.93
friction_map_endgame_cell,899,band_c=80,40,9,22.5
friction_map_endgame_cell,899,band_c=82,28,4,14.29
friction_map_endgame_cell,899,band_c=84,29,8,27.59
friction_map_endgame_cell,899,band_c=86,31,4,12.9
friction_map_endgame_cell,899,band_c=88,49,4,8.16
friction_map_endgame_cell,899,band_c=90,41,9,21.95
friction_map_endgame_cell,899,band_c=92,62,4,6.45
friction_map_endgame_cell,899,band_c=94,77,3,3.9
friction_map_endgame_cell,899,band_c=96,154,6,3.9
friction_map_endgame_cell,899,band_c=98,352,10,2.84
