token,t_sec,band,n,p_win,avg_ask,dev_c,fn,p25_spread_c,med_spread_c,margin_c,dev_m_p50_c,z,months_agree,dev_lo_c,n_lo,dev_hi_c,n_hi,depth_take,n_stale,dev_fresh_c
UP,600,68,225,0.6578,0.6849,-2.72,25,1.0,1.0,-4.78,-3.72,-0.86,3,-1.16,234,6.7,263,635.0,3,-2.73
UP,600,70,263,0.7719,0.7048,6.7,34,1.0,1.0,4.6,5.7,2.59,5,-2.72,225,-3.03,236,626.0,3,6.43
UP,600,72,236,0.6949,0.7252,-3.03,33,1.0,1.0,-5.16,-4.03,-1.01,5,6.7,263,2.09,222,737.0,1,-3.16
UP,600,74,222,0.7658,0.7449,2.09,34,1.0,1.0,-0.08,1.09,0.73,5,-3.03,236,-1.69,274,638.0,1,1.98
UP,600,76,274,0.7482,0.765,-1.69,38,1.0,1.0,-3.88,-2.69,-0.64,6,2.09,222,-2.43,288,954.0,1,-1.78
UP,600,78,288,0.7604,0.7847,-2.43,27,1.0,1.0,-4.65,-3.43,-0.97,4,-1.69,274,-1.79,296,666.0,2,-2.59
UP,600,80,296,0.7872,0.805,-1.79,39,1.0,1.0,-4.04,-2.79,-0.75,5,-2.43,288,1.29,327,540.0,3,-2.0
UP,600,82,327,0.8379,0.8251,1.29,39,1.0,1.0,-1.0,0.29,0.63,5,-1.79,296,-3.38,340,834.0,1,1.54
UP,600,84,340,0.8118,0.8455,-3.38,52,1.0,1.0,-5.7,-4.38,-1.59,5,1.29,327,2.21,319,677.0,3,-3.25
UP,600,86,319,0.8871,0.865,2.21,43,1.0,1.0,-0.14,1.21,1.25,5,-3.38,340,-0.09,388,914.0,2,2.14
UP,600,88,388,0.884,0.8849,-0.09,46,1.0,1.0,-2.47,-1.09,-0.06,4,2.21,319,-2.77,433,689.0,2,-0.15
UP,600,90,433,0.8776,0.9053,-2.77,51,1.0,1.0,-5.18,-3.77,-1.76,4,-0.09,388,2.1,503,1111.0,3,-2.85
UP,600,92,503,0.9463,0.9254,2.1,55,1.0,1.0,-0.35,1.1,2.09,7,-2.77,433,0.95,580,1525.0,3,2.06
