month,t_sec,token,state,bid_band,n,n_wins,p_win,avg_bid,med_bid_sz,med_top3_bid
2025-10,300,down,two_sided,56,36,23,0.6389,0.5706,16.5,369.9
2025-10,300,down,two_sided,58,15,10,0.6667,0.59,13.0,99.0
2025-10,300,down,two_sided,60,29,17,0.5862,0.6059,29.0,384.5
2025-10,300,down,two_sided,62,29,19,0.6552,0.6269,17.0,238.6
2025-10,300,down,two_sided,64,22,15,0.6818,0.6455,21.5,231.2
2025-10,300,down,two_sided,66,22,13,0.5909,0.665,58.2,222.2
2025-10,300,down,two_sided,68,24,17,0.7083,0.6846,18.0,183.0
2025-10,300,down,two_sided,70,20,13,0.65,0.7055,20.5,141.4
2025-10,300,down,two_sided,72,22,18,0.8182,0.725,19.0,238.2
2025-10,300,down,two_sided,74,29,23,0.7931,0.7452,23.0,232.5
2025-10,300,down,two_sided,76,26,21,0.8077,0.7642,16.0,204.9
2025-10,300,down,two_sided,78,20,18,0.9,0.7845,16.5,296.5
2025-10,300,down,two_sided,80,18,15,0.8333,0.8061,19.5,156.9
2025-10,300,down,two_sided,82,19,16,0.8421,0.8253,14.0,159.0
2025-10,300,down,two_sided,84,11,11,1.0,0.8445,100.3,547.4
2025-10,300,down,two_sided,86,10,9,0.9,0.865,48.0,340.4
2025-10,300,down,two_sided,88,11,10,0.9091,0.8818,20.0,336.0
2025-10,300,down,two_sided,90,13,11,0.8462,0.9062,20.0,580.0
2025-10,300,down,two_sided,92,5,5,1.0,0.92,35.5,262.4
2025-10,300,down,two_sided,94,1,1,1.0,0.94,49.0,1231.4
2025-10,300,up,two_sided,0,1,0,0.0,0.01,65058.3,65058.3
2025-10,300,up,two_sided,2,1,0,0.0,0.03,927.3,55303.8
2025-10,300,up,two_sided,4,9,1,0.1111,0.05,175.0,1073.2
2025-10,300,up,two_sided,6,7,1,0.1429,0.0614,105.0,800.0
2025-10,300,up,two_sided,8,8,0,0.0,0.0837,34.1,354.2
2025-10,300,up,two_sided,10,24,3,0.125,0.1038,126.7,533.8
2025-10,300,up,two_sided,12,11,1,0.0909,0.1273,109.0,710.0
2025-10,300,up,two_sided,14,21,3,0.1429,0.1457,20.0,309.5
2025-10,300,up,two_sided,16,22,3,0.1364,0.1632,23.0,308.9
2025-10,300,up,two_sided,18,14,0,0.0,0.1836,27.5,386.5
2025-10,300,up,two_sided,20,29,5,0.1724,0.2034,26.2,208.5
2025-10,300,up,two_sided,22,26,8,0.3077,0.2254,18.0,234.5
2025-10,300,up,two_sided,24,22,5,0.2273,0.245,34.0,269.5
2025-10,300,up,two_sided,26,19,7,0.3684,0.2637,10.0,369.0
2025-10,300,up,two_sided,28,28,6,0.2143,0.2854,67.7,360.6
2025-10,300,up,two_sided,30,28,11,0.3929,0.3054,40.0,306.6
2025-10,300,up,two_sided,32,20,9,0.45,0.3245,28.5,429.6
2025-10,300,up,two_sided,34,42,15,0.3571,0.3452,25.0,327.6
2025-10,300,up,two_sided,36,28,11,0.3929,0.3639,13.6,322.5
2025-10,300,up,two_sided,38,23,11,0.4783,0.3839,30.0,264.5
2025-10,300,up,two_sided,40,20,9,0.45,0.406,19.2,129.1
2025-10,300,up,two_sided,42,24,12,0.5,0.425,23.6,321.1
2025-10,300,up,two_sided,44,26,13,0.5,0.4454,19.0,292.7
2025-10,300,up,two_sided,46,16,6,0.375,0.4638,16.0,178.1
2025-10,300,up,two_sided,48,22,5,0.2273,0.4859,18.7,134.6
2025-10,300,up,two_sided,50,32,15,0.4688,0.5047,32.5,205.4
2025-10,300,up,two_sided,52,18,11,0.6111,0.525,10.5,430.2
2025-10,300,up,two_sided,54,23,16,0.6957,0.5448,18.0,178.9
2025-10,300,up,two_sided,56,40,17,0.425,0.5688,16.0,171.4
