slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1761066900,2,0,0,609
btc-updown-15m-1761067800,28,2,2,7417
btc-updown-15m-1761068700,0,0,0,377
btc-updown-15m-1761069600,16,2,2,4181
btc-updown-15m-1761071400,6,2,2,1514
btc-updown-15m-1761072300,2,0,0,585
btc-updown-15m-1761073200,20,2,2,5206
btc-updown-15m-1761075000,22,4,2,5907
btc-updown-15m-1761075900,28,2,0,7071
btc-updown-15m-1761076800,0,0,0,144
btc-updown-15m-1761077700,2,0,0,829
btc-updown-15m-1761079500,22,4,4,5780
btc-updown-15m-1761080400,6,0,0,1601
btc-updown-15m-1761081300,0,0,0,420
btc-updown-15m-1761082200,0,0,0,333
btc-updown-15m-1761084000,0,0,0,211
btc-updown-15m-1761084900,0,0,0,332
btc-updown-15m-1761085800,0,0,0,357
btc-updown-15m-1761086700,12,4,0,3002
btc-updown-15m-1761088500,24,2,0,6320
btc-updown-15m-1761089400,0,0,0,182
btc-updown-15m-1761090300,18,0,0,4738
btc-updown-15m-1761091200,6,0,0,1617
btc-updown-15m-1761093000,28,0,0,7110
btc-updown-15m-1761093900,14,2,0,3575
btc-updown-15m-1761094800,0,0,0,163
btc-updown-15m-1761095700,4,0,0,1183
btc-updown-15m-1761097500,8,0,0,2356
btc-updown-15m-1761098400,0,0,0,369
btc-updown-15m-1761099300,4,0,0,1027
btc-updown-15m-1761101100,18,0,0,4586
btc-updown-15m-1761102000,6,0,0,1610
btc-updown-15m-1761102900,8,0,0,2232
btc-updown-15m-1761103800,4,0,0,1044
btc-updown-15m-1761105600,0,0,0,239
btc-updown-15m-1761106500,8,2,2,2367
btc-updown-15m-1761107400,2,0,0,604
btc-updown-15m-1761108300,2,0,0,651
btc-updown-15m-1761110100,0,0,0,295
btc-updown-15m-1761111000,10,0,0,2567
btc-updown-15m-1761111900,0,0,0,449
btc-updown-15m-1761112800,10,0,0,2524
btc-updown-15m-1761114600,2,0,0,613
btc-updown-15m-1761115500,24,2,0,6093
btc-updown-15m-1761116400,4,0,0,1028
btc-updown-15m-1761117300,8,0,0,2009
btc-updown-15m-1761119100,6,0,0,1648
btc-updown-15m-1761120000,2,0,0,581
btc-updown-15m-1761120900,0,0,0,39
btc-updown-15m-1761121800,20,2,0,5019
btc-updown-15m-1761123600,2,0,0,762
btc-updown-15m-1761124500,6,0,0,1554
btc-updown-15m-1761125400,2,0,0,626
btc-updown-15m-1761127200,26,0,0,6644
btc-updown-15m-1761128100,26,4,0,6633
btc-updown-15m-1761129000,6,0,0,1811
btc-updown-15m-1761129900,2,0,0,833
btc-updown-15m-1761131700,20,0,0,4993
btc-updown-15m-1761132600,14,4,2,3737
btc-updown-15m-1761133500,0,0,0,430
btc-updown-15m-1761134400,4,0,0,1233
btc-updown-15m-1761136200,4,0,0,1030
btc-updown-15m-1761137100,2,0,0,699
btc-updown-15m-1761138000,2,0,0,807
btc-updown-15m-1761138900,0,0,0,372
btc-updown-15m-1761140700,0,0,0,266
btc-updown-15m-1761141600,0,0,0,246
btc-updown-15m-1761147000,0,0,0,214
btc-updown-15m-1761147900,28,4,0,7039
btc-updown-15m-1761149700,10,0,0,2692
btc-updown-15m-1761150600,26,0,0,6625
btc-updown-15m-1761151500,18,2,0,4491
btc-updown-15m-1761152400,14,4,0,3798
btc-updown-15m-1761154200,6,0,0,1562
btc-updown-15m-1761155100,20,0,0,5014
btc-updown-15m-1761156000,20,2,0,4964
btc-updown-15m-1761157800,30,4,2,7847
btc-updown-15m-1761158700,12,2,2,3237
btc-updown-15m-1761159600,8,0,0,2242
btc-updown-15m-1761160500,22,4,2,5432
btc-updown-15m-1761162300,6,2,2,1760
btc-updown-15m-1761163200,12,0,0,3391
btc-updown-15m-1761164100,0,0,0,248
btc-updown-15m-1761165000,2,0,0,499
btc-updown-15m-1761166800,0,0,0,149
btc-updown-15m-1761174900,0,0,0,223
btc-updown-15m-1761175800,6,0,0,1631
btc-updown-15m-1761176700,26,2,0,6445
btc-updown-15m-1761178500,6,0,0,1697
btc-updown-15m-1761179400,6,2,2,1671
btc-updown-15m-1761180300,0,0,0,252
btc-updown-15m-1761181200,2,0,0,630
btc-updown-15m-1761183000,22,6,6,5860
btc-updown-15m-1761183900,4,0,0,1337
btc-updown-15m-1761184800,26,4,2,6516
btc-updown-15m-1761185700,2,0,0,573
btc-updown-15m-1761187500,2,0,0,726
btc-updown-15m-1761188400,4,0,0,1123
btc-updown-15m-1761189300,0,0,0,220
btc-updown-15m-1761191100,8,0,0,1984
btc-updown-15m-1761192000,26,4,4,6727
btc-updown-15m-1761192900,0,0,0,232
btc-updown-15m-1761193800,2,0,0,810
btc-updown-15m-1761195600,0,0,0,308
btc-updown-15m-1761196500,10,2,0,2741
btc-updown-15m-1761197400,2,0,0,797
btc-updown-15m-1761198300,0,0,0,452
